borrower_id,segment,gst_filing_notes,collection_call_notes,label_bankrupt
MSME00000,MSME,"Turnover declared in Jan filing dropped sharply versus prior period. || Nil/near-nil turnover reported in Mar GST return, inconsistent with loan ticket size. || GSTR-3B filing delayed by 13 days for Oct. Late fee applicable. || Nil/near-nil turnover reported in Apr GST return, inconsistent with loan ticket size.",Borrower requested restructuring due to declining order book.,1
MSME00001,MSME,Repeated late filing pattern observed for Sep; compliance risk noted. || GSTR-3B filed on schedule for May. Turnover consistent with prior quarter. || GST return for Mar filed after due date; ITC mismatch flagged. || GST return for Mar filed after due date; ITC mismatch flagged.,Borrower requested EMI deferment citing cash flow stress. || Borrower unresponsive to last two collection calls. || Borrower requested EMI deferment citing cash flow stress.,1
MSME00002,MSME,"Repeated late filing pattern observed for Sep; compliance risk noted. || Nil/near-nil turnover reported in Sep GST return, inconsistent with loan ticket size. || GSTR-3B filing delayed by 10 days for Oct. Late fee applicable. || GST return for Nov filed after due date; ITC mismatch flagged.",Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Complaint logged: borrower disputes penalty charges amid repayment difficulty.,1
MSME00003,MSME,"Turnover declared in Mar filing dropped sharply versus prior period. || GSTR-3B filed on schedule for Dec. Turnover consistent with prior quarter. || Nil/near-nil turnover reported in Oct GST return, inconsistent with loan ticket size. || GST return for Mar filed after due date; ITC mismatch flagged.",Borrower unresponsive to last two collection calls. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,1
MSME00004,MSME,GSTR-3B filing delayed by 21 days for Jun. Late fee applicable. || GST return for Oct filed within due date. ITC claims reconciled.,Complaint logged: borrower disputes penalty charges amid repayment difficulty.,1
MSME00005,MSME,Turnover declared in Aug filing dropped sharply versus prior period. || GST return for Dec filed after due date; ITC mismatch flagged. || Steady monthly turnover reported in GST filings; no anomalies for Jul.,Call escalated - borrower reported delay in receivables from customers. || Borrower requested EMI deferment citing cash flow stress. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,1
MSME00006,MSME,GSTR-3B filed on schedule for Jul. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Jul.,"Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing. || Courtesy call completed. No stress indicators noted.",0
MSME00007,MSME,GSTR-3B filed on schedule for Nov. Turnover consistent with prior quarter. || GST return for Nov filed within due date. ITC claims reconciled. || GST return for Nov filed within due date. ITC claims reconciled. || GST return for Feb filed within due date. ITC claims reconciled.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME00008,MSME,GST return for Dec filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Sep.,Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted.,0
MSME00009,MSME,Regular GST compliance maintained. No late filing flags in Oct. || GST return for Mar filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Mar. Turnover consistent with prior quarter. || GST return for Oct filed within due date. ITC claims reconciled.,"Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME00010,MSME,Regular GST compliance maintained. No late filing flags in Jan. || GSTR-3B filed on schedule for Oct. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Feb.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00011,MSME,Steady monthly turnover reported in GST filings; no anomalies for Mar. || Regular GST compliance maintained. No late filing flags in Sep. || Steady monthly turnover reported in GST filings; no anomalies for May. || Regular GST compliance maintained. No late filing flags in Apr.,Courtesy call completed. No stress indicators noted.,0
MSME00012,MSME,Steady monthly turnover reported in GST filings; no anomalies for Jun. || Steady monthly turnover reported in GST filings; no anomalies for Sep. || Regular GST compliance maintained. No late filing flags in Feb. || GSTR-3B filed on schedule for Apr. Turnover consistent with prior quarter.,"Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted.",0
MSME00013,MSME,GSTR-3B filed on schedule for Jan. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Dec. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Apr. Turnover consistent with prior quarter. || GST return for Jan filed within due date. ITC claims reconciled.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00014,MSME,Regular GST compliance maintained. No late filing flags in Aug. || Regular GST compliance maintained. No late filing flags in Sep. || Steady monthly turnover reported in GST filings; no anomalies for Dec.,"Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Borrower reachable, no dispute raised, account in good standing. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00015,MSME,GST return for Jul filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Jul.,"Borrower reachable, no dispute raised, account in good standing. || Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME00016,MSME,Steady monthly turnover reported in GST filings; no anomalies for Jan. || GST return for Dec filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Feb. || Regular GST compliance maintained. No late filing flags in Apr.,Courtesy call completed. No stress indicators noted.,0
MSME00017,MSME,Steady monthly turnover reported in GST filings; no anomalies for May. || GSTR-3B filed on schedule for Apr. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Aug. Turnover consistent with prior quarter.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00018,MSME,Regular GST compliance maintained. No late filing flags in Feb. || Steady monthly turnover reported in GST filings; no anomalies for Mar. || Steady monthly turnover reported in GST filings; no anomalies for Aug. || Steady monthly turnover reported in GST filings; no anomalies for Apr.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00019,MSME,Steady monthly turnover reported in GST filings; no anomalies for May. || Steady monthly turnover reported in GST filings; no anomalies for May.,Courtesy call completed. No stress indicators noted. || Courtesy call completed. No stress indicators noted.,0
MSME00020,MSME,Steady monthly turnover reported in GST filings; no anomalies for Dec. || Regular GST compliance maintained. No late filing flags in Mar. || Regular GST compliance maintained. No late filing flags in May. || GSTR-3B filed on schedule for Jan. Turnover consistent with prior quarter.,"Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
MSME00021,MSME,"Nil/near-nil turnover reported in Sep GST return, inconsistent with loan ticket size. || GSTR-3B filing delayed by 23 days for Mar. Late fee applicable. || Nil/near-nil turnover reported in Jul GST return, inconsistent with loan ticket size.",Borrower requested EMI deferment citing cash flow stress. || Complaint logged: borrower disputes penalty charges amid repayment difficulty. || Field visit report notes shutdown/reduced operations at business premises.,0
MSME00022,MSME,GST return for Nov filed within due date. ITC claims reconciled. || GST return for Apr filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Jul.,Courtesy call completed. No stress indicators noted.,0
MSME00023,MSME,GSTR-3B filed on schedule for Feb. Turnover consistent with prior quarter. || GSTR-3B filed on schedule for Aug. Turnover consistent with prior quarter. || Regular GST compliance maintained. No late filing flags in Feb.,"Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing.",0
MSME00024,MSME,GST return for Apr filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in May. || GST return for Aug filed within due date. ITC claims reconciled.,Courtesy call completed. No stress indicators noted.,0
MSME00025,MSME,GST return for Jan filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Nov. Turnover consistent with prior quarter. || GST return for Mar filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Feb. Turnover consistent with prior quarter.,Courtesy call completed. No stress indicators noted. || Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00026,MSME,GST return for Dec filed within due date. ITC claims reconciled. || GST return for Apr filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Sep. || GSTR-3B filed on schedule for May. Turnover consistent with prior quarter.,Routine EMI reminder call placed. Borrower confirmed payment scheduled.,0
MSME00027,MSME,GST return for Jan filed within due date. ITC claims reconciled. || GST return for Mar filed within due date. ITC claims reconciled. || Steady monthly turnover reported in GST filings; no anomalies for Mar.,Courtesy call completed. No stress indicators noted.,0
MSME00028,MSME,GSTR-3B filed on schedule for Feb. Turnover consistent with prior quarter. || Regular GST compliance maintained. No late filing flags in Dec. || GSTR-3B filed on schedule for Sep. Turnover consistent with prior quarter. || Regular GST compliance maintained. No late filing flags in Jun.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME00029,MSME,GSTR-3B filing delayed by 30 days for May. Late fee applicable. || GSTR-3B filing delayed by 30 days for Apr. Late fee applicable.,"Borrower reachable, no dispute raised, account in good standing.",1
MSME00030,MSME,Regular GST compliance maintained. No late filing flags in Mar. || Regular GST compliance maintained. No late filing flags in Mar. || GST return for Jul filed after due date; ITC mismatch flagged. || Regular GST compliance maintained. No late filing flags in Nov.,Borrower requested restructuring due to declining order book. || Borrower requested EMI deferment citing cash flow stress. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,1
MSME00031,MSME,Regular GST compliance maintained. No late filing flags in May. || GSTR-3B filed on schedule for Apr. Turnover consistent with prior quarter. || Regular GST compliance maintained. No late filing flags in Nov.,"Borrower reachable, no dispute raised, account in good standing. || Borrower reachable, no dispute raised, account in good standing.",0
