borrower_id,segment,gst_sentiment,call_sentiment,gst_delay_flag,call_stress_flag,unstructured_risk_score,gst_filing_notes,collection_call_notes,label_bankrupt
MSME00000,MSME,-0.2263,0.0,1,1,0.6566,"Turnover declared in Jan filing dropped sharply versus prior period. || Nil/near-nil turnover reported in Mar GST return, inconsistent with loan ticket size. || GSTR-3B filing delayed by 13 days for Oct. Late fee applicable. || Nil/near-nil turnover reported in Apr GST return, inconsistent with loan ticket size.",Borrower requested restructuring due to declining order book.,1
MSME00001,MSME,-0.2732,-0.6808,1,1,0.7704,Repeated late filing pattern observed for Sep; compliance risk noted. || GSTR-3B filed on schedule for May. Turnover consistent with prior quarter. || GST return for Mar filed after due date; ITC mismatch flagged. || GST return for Mar filed after due date; ITC mismatch flagged.,Borrower requested EMI deferment citing cash flow stress. || Borrower unresponsive to last two collection calls. || Borrower requested EMI deferment citing cash flow stress.,1
MSME00002,MSME,-0.4588,-0.8689,1,1,0.845,"Repeated late filing pattern observed for Sep; compliance risk noted. || Nil/near-nil turnover reported in Sep GST return, inconsistent with loan ticket size. || GSTR-3B filing delayed by 10 days for Oct. Late fee applicable. || GST return for Nov filed after due date; ITC mismatch flagged.",Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Complaint logged: borrower disputes penalty charges amid repayment difficulty.,1
MSME00003,MSME,0.0,0.0,1,1,0.6,"Turnover declared in Mar filing dropped sharply versus prior period. || GSTR-3B filed on schedule for Dec. Turnover consistent with prior quarter. || Nil/near-nil turnover reported in Oct GST return, inconsistent with loan ticket size. || GST return for Mar filed after due date; ITC mismatch flagged.",Borrower unresponsive to last two collection calls. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,1
MSME00004,MSME,-0.2263,-0.8689,1,1,0.7869,GSTR-3B filing delayed by 21 days for Jun. Late fee applicable. || GST return for Oct filed within due date. ITC claims reconciled.,Complaint logged: borrower disputes penalty charges amid repayment difficulty.,1
MSME00005,MSME,-0.296,-0.6249,1,1,0.7677,Turnover declared in Aug filing dropped sharply versus prior period. || GST return for Dec filed after due date; ITC mismatch flagged. || Steady monthly turnover reported in GST filings; no anomalies for Jul.,Call escalated - borrower reported delay in receivables from customers. || Borrower requested EMI deferment citing cash flow stress. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.,1
MSME00006,MSME,-0.296,0.9156,0,1,0.4367,GSTR-3B filed on schedule for Jul. Turnover consistent with prior quarter. || Steady monthly turnover reported in GST filings; no anomalies for Jul.,"Courtesy call completed. No stress indicators noted. || Borrower reachable, no dispute raised, account in good standing. || Courtesy call completed. No stress indicators noted.",0
MSME00007,MSME,0.0,0.6319,0,1,0.4052,GSTR-3B filed on schedule for Nov. Turnover consistent with prior quarter. || GST return for Nov filed within due date. ITC claims reconciled. || GST return for Nov filed within due date. ITC claims reconciled. || GST return for Feb filed within due date. ITC claims reconciled.,"Borrower reachable, no dispute raised, account in good standing.",0
MSME00008,MSME,-0.296,0.8255,0,0,0.3502,GST return for Dec filed within due date. ITC claims reconciled. || Regular GST compliance maintained. No late filing flags in Sep.,Courtesy call completed. No stress indicators noted. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Courtesy call completed. No stress indicators noted.,0
MSME00009,MSME,-0.296,0.6319,0,1,0.4792,Regular GST compliance maintained. No late filing flags in Oct. || GST return for Mar filed within due date. ITC claims reconciled. || GSTR-3B filed on schedule for Mar. Turnover consistent with prior quarter. || GST return for Oct filed within due date. ITC claims reconciled.,"Borrower reachable, no dispute raised, account in good standing. || Routine EMI reminder call placed. Borrower confirmed payment scheduled. || Routine EMI reminder call placed. Borrower confirmed payment scheduled.",0
